科號,中文課名,英文課名,學分,上課時間,教室,教師,人限,總人數,備註欄,此課程已列入之系所班別,遠距課,授課語言,通識對象,通識分類,code,系所全名,院全名,課程字頭,課程屬性,學年期,第一二專長對應,學分學程對應,科目名稱 Course Name,授課教師 Teacher,修課人數 Enrollment,等級制,等級制.1,百分制,百分制.1
11110ANTH678900,考古學田野實習,ArchaeologicalFieldPracticum,1,W3,,謝艾倫,,4,"需先修過考古學方法論,上課地點:人社A421","人類所111M必修,台研教在職學位班111P選修",,中,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,,考古學田野實習 Archaeological Field Practicum,謝艾倫 ELLEN HSIEH,4,3.85,0.15,,
11110ANTH679500,文化人類學,AdvanceCulturalAnthropology,3,W2W3W4,人社C304,陳中民,,5,此為本所乙組:南島英語學程組之必修課,"人類所111D選修,人類所111M必修,台研教在職學位班111P選修",,英,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,(跨領域)世界南島暨原住民族學分學程,文化人類學 Advance Cultural Anthropology,"陳中民 CHEN, CHUNG-MIN",5,4.06,0.12,,
11110ANTH679700,台灣考古學,ArchaeologyofTaiwan,3,M2M3M4,人社C304,王儷螢,,2,,"人類所111D選修,人類所111M選修",,英,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,(跨領域)世界南島暨原住民族學分學程,台灣考古學 Archaeology of Taiwan,王儷螢 LI-YING WANG,2,4.09,0.01,92.5,0.5
11110ANTH800000,論文研究,Thesis,0,,,指導教授,,3,限人類所博三以上同學，Selectableaftersuccessfullycompletingsecondyear'scoursework.,人類所111D必修,,中,,,ANTH,人類學研究所,人文社會學院,8,研究所,11110,,,,,,,,,
11110ASTR500100,專題研究--天文教學二,SpecialTopiconTeachingAstronomy(II),1,,,指導教授,,2,,"天文所111D選修,天文所111M選修",,中,,,ASTR,天文研究所,理學院,5,研究所,11110,,,,,,,,,
11110ASTR530000,星系天文學,GalacticAstronomy,3,T6T7T8,綜二501,安德魯˙古柏,,8,,"天文所111D必修,天文所111M必修",,英,,,ASTR,天文研究所,理學院,5,研究所,11110,,,星系天文學 Galactic Astronomy,"安德魯˙古柏 COOPER, ANDREW PAUL",8,2.36,1.88,,
11110ASTR591000,專題演講一,Colloquium(I),1,F6F7,物124,何英宏,,11,,"天文所111D必修,天文所111M必修",,英,,,ASTR,天文研究所,理學院,5,研究所,11110,,,專題演講一 Colloquium (I),何英宏 Daniel Harsono,11,4.02,0.07,90,3.74
11110ASTR600700,天文物理的前沿一,FrontierofAstrophysicsSeminarsI,1,TnWnRn,綜二501,後藤友嗣,,9,,"天文所111D選修,天文所111M選修",,英,,,ASTR,天文研究所,理學院,6,研究所,11110,,,天文物理的前沿一 Frontier of Astrophysics Seminars (I),"後藤友嗣 GOTO, TOMOTSUGU",9,4.3,0,,
11110ASTR610000,天文觀測,ObservationalAstronomy,3,W6W7W8,綜二521,江國興,15,8,,"天文所111D必修,天文所111M必修",,英,,,ASTR,天文研究所,理學院,6,研究所,11110,,(台聯大)太空科技與工程學分學程,天文觀測 Observational Astronomy,江國興 ALBERT KONG,8,3.55,0.64,,
11110ASTR660000,計算天文物理,ComputationalAstrophysics,3,R6R7R8,物501,楊湘怡,,14,,"天文所111D選修,天文所111M選修",,英,,,ASTR,天文研究所,理學院,6,研究所,11110,,,計算天文物理 Computational Astrophysics,"楊湘怡 YANG, HSIANG-YI",14,3.79,0.82,,
11110ASTR691000,論文研究,Thesis,0,,,指導教授,,15,限天文所碩二以上同學，Selectableaftersuccessfullycompletingfirstyear'scoursework,天文所111M必修,,中,,,ASTR,天文研究所,理學院,6,研究所,11110,,,,,,,,,
11110ASTR992000,論文研究,Thesis,0,,,指導教授,,16,限天文所博二以上同學，Selectableaftersuccessfullycompletingfirstyear'scoursework,天文所111D必修,,中,,,ASTR,天文研究所,理學院,9,研究所,11110,,,,,,,,,
11110BAI700100,統計與機器學習概論一,IntroductionofStatisticsandMachineLearning(I),3,T2T3T4,生二113,"楊立威,張筱涵,羅中泉",30,24,本課程為16週課程。限大三以上修習,智慧生醫博士學程111D必修,,英,,,BAI,智慧生醫博士學位學程,教務處,7,研究所,11110,,(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程,統計與機器學習概論一 Introduction of Statistics and Machine Learning (I),"楊立威 YANG, LEE-WEI 張筱涵 CHANG, HSIAO-HAN 羅中泉 LO, CHUNG-CHUAN",24,3.66,0.33,83.58,16.69
11110BAI700300,專題演講,Colloquium,1,T6T7,綜二615,林幸瑩,40,3,課程為16週課程。,智慧生醫博士學程111D必修,,英,,,BAI,智慧生醫博士學位學程,教務處,7,研究所,11110,,,專題演講 Colloquium,"林幸瑩 LIN, HSING-YING",3,4.19,0.02,96,1.41
11110BAI700600,實驗輪轉一,LabRotation(I),1,Tn,,"楊立威,朱麗安",3,3,,智慧生醫博士學程111D必修,,中,,,BAI,智慧生醫博士學位學程,教務處,7,研究所,11110,,,實驗輪轉一 Lab Rotation (I),"楊立威 YANG, LEE-WEI 朱麗安 CHU, LI-AN",3,4.14,0.07,94.33,3.68
11110BAI800000,論文研究,Thesis,0,,,指導教授,,0,,智慧生醫博士學程111D必修,,中,,,BAI,智慧生醫博士學位學程,教務處,8,研究所,11110,,,,,,,,,
11110BME400100,專題研究,UndergraduateResearch,3,,,指導教授,,10,限大學部學生修課,醫工所111M選修,,中,,,BME,生物醫學工程研究所,工學院,4,大學部,11110,,,專題研究 Undergraduate Research,指導教授,10,4.3,0,,
11110BME500400,書報討論,Seminar,1,W3W4,清實826,鄭兆珉,,58,,"醫工所111D必修,醫工所111M必修",,中,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,書報討論 Seminar,"鄭兆^ CHENG, CHAO-MIN",58,3.9,0.1,87.4,5.44
11110BME500800,癌症生物學與治療,CancerBiologyandTherapy,3,M5M6M7,清實826,陳韻晶,24,12,,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,(跨領域)生物產業技術學分學程,癌症生物學與治療 Cancer Biology and Therapy,"陳韻晶 CHEN, YUN-CHING",12,4.08,0.07,92.17,3.91
11110BME501200,論文研究,Thesis,0,,,指導教授,,32,限醫工所碩二以上同學，Selectableaftersuccessfullycompletingfirstyear'scoursework,醫工所111M必修,,中,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,,,,,,,
11110BME501900,微機電奈米感測器,MicroelectromechanicalSensor,3,F6F7F8,清實319,林宗宏,,17,,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,(跨領域)奈米科技學分學程,微機電奈米感測器 Microelectromechanical Sensor,"林宗宏 LIN, ZONG-HONG",17,3.91,0.05,87.59,2.83
11110BME502400,奈米生醫材料,Nano-/Bio-materials,3,W5W6W7,清實319,鄭兆珉,,5,,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,(跨領域)奈米科技學分學程/(跨領域)奈微米機電元件與系統全英語學分學程,奈米生醫材料 Nano-/Bio-materials,"鄭兆^ CHENG, CHAO-MIN",5,4.08,0,92,0
11110BME502500,生物分析化學,BioanalyticalChemistry,3,T6T7T8,清實826,林宗宏,,14,,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,(跨領域)生物產業技術學分學程,生物分析化學 Bioanalytical Chemistry,"林宗宏 LIN, ZONG-HONG",14,3.98,0.04,88.71,2.43
11110BME502600,醫療器材設計與開發實務,PracticalSkillsoftheDesignandDevelopmentofMedicalDevices,3,MaMbMc,綜二616,王明哲,36,34,,"醫工所111D選修,醫工所111M選修",,中,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,醫療器材設計與開發實務 Practical Skills of the Design and Development of Medical Devices,"王明哲 WANG, MING-CHE",34,4.05,0.72,,
11110BME503600,奈米光學材料,OpticalNanomaterials,3,R6R7R8,清實826,萬德輝,,7,,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,奈米光學材料 Optical Nanomaterials,"萬德輝 WAN, DE-HUI",7,4.09,0.21,,
11110BME503900,應用細胞生物工程學,AppliedCellularBioengineering,3,R2R3R4,工一217,黃玠誠,,49,,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,應用細胞生物工程學 Applied Cellular Bioengineering,"黃玠誠 HUANG, CHIEH-CHENG",49,4.29,0.04,,
11110BME504000,金屬生物醫藥與生醫材料,Metal-basedbiomedicineandbiomaterials,3,M2M3M4,清實826,魯才德,,12,限曾修過「普通化學」者選修,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,金屬生物醫藥與生醫材料 Metal-based biomedicine and biomaterials,"魯才德 LU, TSAI-TE",12,3.71,0.07,84.17,3.51
11110BME504400,前瞻生物醫學技術概論,IntroductionofFrontierBiomedicalTechnology,3,F2F3F4,清實826,裘正健,15,15,限大四以上選修,"醫工所111D選修,醫工所111M選修",,中,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,前瞻生物醫學技術概論 Introduction of Frontier Biomedical Technology,"裘正健 CHIU, JENG-JIANN",15,4.08,0.05,91.93,2.57
11110BME504600,液態生物檢體與轉譯醫學應用,Liquidbiopsyanditsapplicationsintranslationalmedicine,3,M2M3M4,清實319,林幸瑩,,7,修課學生須先經過任課教師同意,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,液態生物檢體與轉譯醫學應用 Liquid biopsy and its applications in translational medicine,"林幸瑩 LIN, HSING-YING",7,4.1,0.05,92.71,2.81
11110BME504900,物聯網生醫感測平台於轉譯醫學之應用,IoTbiomedicalsensingplatformsintranslationalmedicineapplication,3,M5M6M7,清實319,林幸瑩,,7,修課學生須先經過任課教師同意,"醫工所111D選修,醫工所111M選修",,英,,,BME,生物醫學工程研究所,工學院,5,研究所,11110,,,物聯網生醫感測平台於轉譯醫學之應用 IoT biomedical sensing platformsin translational medicine application,"林幸瑩 LIN, HSING-YING",7,4.12,0.05,93.57,2.97
11110BME800100,論文研究,Thesis,0,,,指導教授,,0,,醫工所111D必修,,中,,,BME,生物醫學工程研究所,工學院,8,研究所,11110,,,,,,,,,
11110BMES111100,生醫工程與環境科學導論,IntroductiontoBiomedicalEngineeringandEnvironmentalSciences,2,M7M8M9,醫環301,"陳之碩,黃郁棻",60,56,本課程每週上180分鐘,醫環系111B必修,,中,,,BMES,生醫工程與環境科學系,原子科學院,1,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長)",,生醫工程與環境科學導論 Introduction to Biomedical Engineering and Environmental Sciences,"陳之碩 CHEN, CHI-SHUO 黃郁棻 HUANG, YU-FEN",55,3.93,0.08,87.95,4.47
11110BMES211100,工程數學一,EngineeringMathematicsI,3,T7T8T9,醫環110,朱麗安,50,49,,"醫環系110B必修,原科院學士班110B必修",,中,,,BMES,生醫工程與環境科學系,原子科學院,2,大學部,11110,生醫工程與環境科學(第一專長),,工程數學一 Engineering Mathematics I,"朱麗安 CHU, LI-AN",49,3.02,0.38,76.2,19.24
11110BMES212100,機率與統計,ProbabilityandStatistics,3,M3M4W2,醫環110,陳之碩,60,58,,醫環系110B必修,,中,,,BMES,生醫工程與環境科學系,原子科學院,2,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長),醫學物理(第二專長)",(跨領域)生物資訊學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程,機率與統計 Probability and Statistics,"陳之碩 CHEN, CHI-SHUO",58,2.98,0.28,75.76,14.47
11110BMES213300,電子學一,ElectronicsI,3,T3T4R4,醫環110,王廷瑋,,50,,醫環系110B必修,,中,,,BMES,生醫工程與環境科學系,原子科學院,2,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長),醫學物理(第二專長)",(跨領域)積體電路設計學分學程,電子學一 Electronics I,"王廷瑋 WANG, TING-WEI",50,3.1,0.29,77.06,14.77
11110BMES215100,有機化學一,OrganicChemistry(I),3,W3W4F3F4,醫環110,俞鐘山,,47,本課程上150分鐘，其餘時間由教授彈性運用,"醫環系110B必修,原科院學士班110B必修",,中,,,BMES,生醫工程與環境科學系,原子科學院,2,大學部,11110,"環境科技學程(第二專長),生醫工程(第二專長),生醫工程與環境科學(第一專長),生命科學(第二專長)",,有機化學一 Organic Chemistry (I),"俞鐘山 YU, CHUNG-SHAN",47,2.25,0.4,68.57,20.11
11110BMES312101,生醫電子與儀器實驗,BiomedicalElectronicsandInstrumentationLaboratory,2,M5M6M7M8,醫環110,王廷瑋,25,8,,醫環系109B必修,,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,,,生醫電子與儀器實驗 Biomedical Electronics and Instrumentation Laboratory,"王廷瑋 WANG, TING-WEI",8,3.72,0.11,84.38,5.94
11110BMES312102,生醫電子與儀器實驗,BiomedicalElectronicsandInstrumentationLaboratory,2,R5R6R7R8,醫環110,陳之碩,25,25,,醫環系109B必修,,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,,,生醫電子與儀器實驗 Biomedical Electronics and Instrumentation Laboratory,"陳之碩 CHEN, CHI-SHUO",25,3.95,0.04,88.28,2.2
11110BMES316100,生物化學一,BiochemistryI,3,T3T4R3,醫環101,邱信程,,41,,"醫環系109B必修,原科院學士班109B必修",,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,"環境科技學程(第二專長),生醫工程(第二專長),生醫工程與環境科學(第一專長),生命科學(第二專長)",(跨領域)生物產業技術學分學程,生物化學一 Biochemistry I,"邱信程 CHIU, HSIN-CHENG",41,2.96,0.42,75.49,21.35
11110BMES318100,專題研究一,Researchonspecialtopics,1,,,指導教授,,22,指導教授限醫環系教師,醫環系109B選修,,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,,,專題研究一 Research on special topics,指導教授,22,4.18,0.15,,
11110BMES323100,數值方法,NumericalMethods,3,T6T7T8,醫環101,劉耕谷,,14,,醫環系109B選修,,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長)",(跨領域)神經科學學分學程,數值方法 Numerical Methods,"劉耕谷 LIU, KENG-KU",14,3.77,0.19,85.29,9.72
11110BMES327200,生醫材料,BiomedicalMaterials,3,W3W4F2,醫環717,胡尚秀,30,17,,醫環系109B選修,,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,生醫工程(第二專長),(跨領域)醫學科技學分學程,生醫材料 Biomedical Materials,"胡尚秀 HU, SHANG-HSIU",17,3.75,0.38,84.94,19.49
11110BMES332100,儀器分析,InstrumentalAnalysis,3,R4F3F4,醫環618,李亦淇,,13,,"醫環系109B選修,原科院學士班109B選修",,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長)",,儀器分析 Instrumental Analysis,"李亦淇 LEE, I-CHI",13,3.85,0.13,86.54,6.85
11110BMES337100,物理化學一,PhysicalChemistry(I),3,M3M4W1W2,醫環717,吳劍侯,,19,"本課程上150分鐘,其餘時間由教授彈性運用.","醫環系109B選修,原科院學士班110B必修",,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,"環境科技學程(第二專長),生醫工程(第二專長),生醫工程與環境科學(第一專長)",,物理化學一 Physical Chemistry (I),"吳劍侯 WU, CHIEN-HOU",19,3.09,0.21,76.95,10.59
11110BMES343100,醫學儀器,MedicalInstrumentation,3,W2W3W4,醫環501,彭旭霞,,10,,醫環系109B選修,,中,,,BMES,生醫工程與環境科學系,原子科學院,3,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長),醫學物理(第二專長)",,醫學儀器 Medical Instrumentation,"彭旭霞 PENG, HSU-HSIA",10,3.58,0.17,82.5,8.81
11110BMES411100,書報討論,Seminar,1,W6,醫環110,林曉均,26,23,,醫環系108B必修,,中,,,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,,,書報討論 Seminar,"林曉均 Lin, Hsiao Chun",23,3.95,0.64,,
11110BMES418100,專題研究三,UndergraduateResearch(III),1,,,指導教授,,22,指導教授限醫環系教師,醫環系108B選修,,中,,,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,,,專題研究三 Undergraduate Research (III),指導教授,22,4.1,0.26,,
11110BMES420200,放射化學,Radiochemistry,3,W7W8W9,醫環110,張智偉,,15,,"醫環系108B選修,原科院學士班108B選修,核工所111M選修",,中,,,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,"環境科技學程(第二專長),生醫工程(第二專長),生醫工程與環境科學(第一專長)",,放射化學 Radiochemistry,"張智偉 CHANG, CHIH-WEI",15,1.89,0.65,63.87,32.99
11110BMES423100,分子細胞生物學,MolecularandCellularBiology,3,M7M8M9,醫環401,張建文,,21,,醫環系108B選修,,中,,,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長)",,分子細胞生物學 Molecular and Cellular Biology,"張建文 CHANG, CHIEN-WEN",21,3.31,0.4,79.14,20.21
11110BMES433100,全球能源短缺衝擊,ImpactofGlobalEnergyShortage,2,R7R8,醫環120,鍾堅,95,93,"不接受停修(二退),本課程為16週課程",醫環系108B選修,,中,*1,自然科學領域ElectiveGEcourse:NaturalSciences,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,,(跨領域)能源科技與永續社會學分學程/(跨領域)永續發展與環境管理學分學程,全球能源短缺衝擊 Impact of Global Energy Shortage,"鍾堅 CHUNG, CHIEN",93,3.41,0.17,80.38,8.76
11110BMES441100,臨床醫學影像概論,Introductionofmedicalimaging,3,F5F6F7,醫環301,楊菁華,,36,,醫環系108B選修,,中,,,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長)",,臨床醫學影像概論 Introduction of medical imaging,"楊菁華 YANG, CHIN-HUA",35,3.85,0.13,86.6,6.6
11110BMES441200,放射物理,RadiationPhysics,3,T6T7T8,醫環401,許芳裕,,29,,"醫環系108B選修,核工所111M選修",,中,,,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長),醫學物理(第二專長)",,放射物理 Radiation Physics,"許芳裕 HSU, FANG-YUH",29,3.89,0.16,87.21,8.4
11110BMES441300,臨床醫學總論,ClinicalMedicine,3,W2W3W4,醫環401,沈名吟,,41,,醫環系108B選修,,中,,,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,,,臨床醫學總論 Clinical Medicine,"沈名吟 SHEN, MING-YIN",41,4.07,0.04,91.78,2.4
11110BMES442100,生醫訊號與系統,BiomedicalSignalsandSystems,3,M2M3M4,醫環419,葉秩光,,17,,"醫環系108B選修,核工所111M選修",,中,,,BMES,生醫工程與環境科學系,原子科學院,4,大學部,11110,"生醫工程(第二專長),生醫工程與環境科學(第一專長)",(跨領域)神經科學學分學程,生醫訊號與系統 Biomedical Signals and Systems,"葉秩光 YEH, CHIH-KUANG",17,3.76,0.28,85.12,14.3
